"","OBJECTID","Zone_","Block","House","geometry","id_node"
"1",1,"B","1","House A",c(605822.387896579, 853408.996379703),"1_1"
"2",1,"B","1","House A",c(605881.290878967, 853450.502973137),"1_2"
"3",1,"B","1","House A",c(605903.747434299, 853411.642218329),"1_3"
"4",1,"B","1","House A",c(605917.917433365, 853390.929619204),"1_4"
"5",1,"B","1","House A",c(605946.080852299, 853351.449389612),"1_5"
"6",1,"B","1","House A",c(605852.897892916, 853287.075571463),"1_6"
"7",1,"B","1","House A",c(605844.600007812, 853300.367293334),"1_7"
"8",1,"B","1","House A",c(605838.447167628, 853306.92978015),"1_8"
"9",1,"B","1","House A",c(605834.225122445, 853316.453401038),"1_9"
"10",1,"B","1","House A",c(605833.371061051, 853323.04644887),"1_10"
"11",1,"B","1","House A",c(605825.102815348, 853323.377178697),"1_11"
"12",1,"B","1","House A",c(605824.839936754, 853333.812358219),"1_12"
"13",1,"B","1","House A",c(605840.686991605, 853345.428396372),"1_13"
"14",1,"B","1","House A",c(605833.371061051, 853357.773080826),"1_14"
"15",1,"B","1","House A",c(605824.668890155, 853354.467666751),"1_15"
"16",1,"B","1","House A",c(605827.748653973, 853375.632491542),"1_16"
"17",1,"B","1","House A",c(605823.779896035, 853389.853874151),"1_17"
"18",1,"B","1","House A",c(605820.572533583, 853393.111953501),"1_18"
"19",1,"B","1","House A",c(605822.387896579, 853408.996379703),"1_19"
"20",2,"B","2","House B",c(605976.507996485, 853515.491384361),"2_1"
"21",2,"B","2","House B",c(606052.559847387, 853555.866319781),"2_2"
"22",2,"B","2","House B",c(606070.435267672, 853533.350795083),"2_3"
"23",2,"B","2","House B",c(606083.003001143, 853516.152844021),"2_4"
"24",2,"B","2","House B",c(606097.17300021, 853495.440244896),"2_5"
"25",2,"B","2","House B",c(606112.764060025, 853472.61514039),"2_6"
"26",2,"B","2","House B",c(606098.515027179, 853460.77545481),"2_7"
"27",2,"B","2","House B",c(606085.196842333, 853449.709221551),"2_8"
"28",2,"B","2","House B",c(606102.659377261, 853423.780003021),"2_9"
"29",2,"B","2","House B",c(606003.175844961, 853379.329914127),"2_10"
"30",2,"B","2","House B",c(605992.063322735, 853395.204945875),"2_11"
"31",2,"B","2","House B",c(605978.107235993, 853387.680036817),"2_12"
"32",2,"B","2","House B",c(605960.538278713, 853378.207123078),"2_13"
"33",2,"B","2","House B",c(605966.726942184, 853361.262853539),"2_14"
"34",2,"B","2","House B",c(605956.002747141, 853357.402526518),"2_15"
"35",2,"B","2","House B",c(605932.851659171, 853389.15259002),"2_16"
"36",2,"B","2","House B",c(605907.716192232, 853424.871411456),"2_17"
"37",2,"B","2","House B",c(605886.453627907, 853457.390627487),"2_18"
"38",2,"B","2","House B",c(605976.507996485, 853515.491384361),"2_19"
"39",3,"A","1","House C",c(605957.358739437, 853343.346508825),"1_20"
"40",3,"A","1","House C",c(606022.446369613, 853248.096318321),"1_21"
"41",3,"A","1","House C",c(605867.400226185, 853134.325257445),"1_22"
"42",3,"A","1","House C",c(605823.479305009, 853134.854425175),"1_23"
"43",3,"A","1","House C",c(605826.893681555, 853205.004343271),"1_24"
"44",3,"A","1","House C",c(605856.575065793, 853226.26167197),"1_25"
"45",3,"A","1","House C",c(605836.44744378, 853256.897489199),"1_26"
"46",3,"A","1","House C",c(605829.410060743, 853256.175991332),"1_27"
"47",3,"A","1","House C",c(605957.358739437, 853343.346508825),"1_28"
"48",4,"A","2","House D",c(605965.825423035, 853349.167353798),"2_20"
"49",4,"A","2","House D",c(606122.459069638, 853420.604996674),"2_21"
"50",4,"A","2","House D",c(606140.75945346, 853429.600847999),"2_22"
"51",4,"A","2","House D",c(606140.75945346, 853408.963306719),"2_23"
"52",4,"A","2","House D",c(606146.800784987, 853383.563255921),"2_24"
"53",4,"A","2","House D",c(606159.500810387, 853334.350657495),"2_25"
"54",4,"A","2","House D",c(606029.325550037, 853253.917163299),"2_26"
"55",4,"A","2","House D",c(605965.825423035, 853349.167353798),"2_27"
"56",5,"A","3","House E",c(605871.10440026, 853126.387741573),"3_1"
"57",5,"A","3","House E",c(606024.563040512, 853239.629634723),"3_2"
"58",5,"A","3","House E",c(606071.129800311, 853175.600339992),"3_3"
"59",5,"A","3","House E",c(605947.833720386, 853087.229329923),"3_4"
"60",5,"A","3","House E",c(605899.06723411, 853074.390534887),"3_5"
"61",5,"A","3","House E",c(605871.10440026, 853126.387741573),"3_6"
"62",6,"A","4","House F",c(606034.617227288, 853245.450479696),"4_1"
"63",6,"A","4","House F",c(606160.02997811, 853326.413141623),"4_2"
"64",6,"A","4","House F",c(606176.963345313, 853253.387995573),"4_3"
"65",6,"A","4","House F",c(606078.008980736, 853184.0670236),"4_4"
"66",6,"A","4","House F",c(606034.617227288, 853245.450479696),"4_5"
